feature,importance
reservoir_volume,0.06907937
sin_month,0.06325117
reservoir_volume_slope_72h,0.04522102
reservoir_volume_change_72h,0.03857402
reservoir_volume_change_24h,0.03778463
water_level_roll_min_72h,0.028996928
reservoir_volume_slope_24h,0.026172517
reservoir_volume_lag_48h,0.025524093
water_level_slope_12h,0.024076317
water_level_lag_48h,0.023600595
water_level_roll_std_48h,0.023592474
water_level_slope_24h,0.02330985
water_level_roll_std_24h,0.022861067
dayofyear,0.021407805
reservoir_volume_roll_min_72h,0.020258572
reservoir_volume_roll_std_24h,0.018368434
water_level_change_24h,0.018193286
water_level_change_72h,0.017954893
water_level_roll_std_6h,0.017575148
reservoir_volume_slope_12h,0.01730169
water_level_change_12h,0.01558752
water_level_roll_min_48h,0.013873039
water_level_slope_72h,0.013525664
reservoir_volume_roll_min_6h,0.0130036725
sin_hour,0.012975224
reservoir_volume_change_12h,0.012678735
cos_hour,0.012658646
hour,0.0124379555
reservoir_volume_roll_std_48h,0.011070641
water_level_roll_min_24h,0.010620293
water_level_change_6h,0.010108905
reservoir_volume_slope_6h,0.009281675
water_level_roll_min_6h,0.009137239
reservoir_volume_slope_48h,0.009030324
reservoir_volume_roll_std_6h,0.008848119
reservoir_volume_change_6h,0.008812525
reservoir_volume_roll_min_48h,0.008743013
reservoir_volume_slope_3h,0.008665088
water_level,0.008183477
sin_dayofyear,0.007898218
cos_dayofyear,0.007756984
dayofweek,0.0073283664
reservoir_volume_roll_max_48h,0.0070713703
cos_month,0.006543299
month,0.006465115
water_level_slope_1h,0.0063847178
water_level_change_1h,0.006027122
reservoir_volume_roll_std_3h,0.005950485
reservoir_volume_change_3h,0.0058949133
reservoir_volume_change_1h,0.0058911196
water_level_roll_std_3h,0.005845972
water_level_change_48h,0.0055708755
water_level_lag_24h,0.0052966005
reservoir_volume_lag_6h,0.005246983
reservoir_volume_lag_72h,0.005196366
water_level_roll_max_24h,0.0050534853
reservoir_volume_roll_std_12h,0.005044173
water_level_roll_max_72h,0.0046251724
reservoir_volume_change_48h,0.0044058706
water_level_change_3h,0.004242305
water_level_slope_6h,0.003995067
water_level_slope_48h,0.003936804
reservoir_volume_lag_24h,0.0038901085
water_level_roll_std_12h,0.0038526207
water_level_roll_max_12h,0.0038457941
water_level_roll_min_3h,0.0038200312
water_level_lag_72h,0.0037319027
reservoir_volume_lag_1h,0.0036292525
reservoir_volume_roll_std_72h,0.0035644239
water_level_lag_3h,0.0034015675
water_level_roll_max_3h,0.003393623
water_level_roll_max_6h,0.003323044
reservoir_volume_roll_max_6h,0.0033120853
water_level_lag_6h,0.0032819158
water_level_roll_min_12h,0.0029386536
water_level_roll_std_72h,0.0028373317
reservoir_volume_slope_1h,0.0027837506
reservoir_volume_roll_max_72h,0.0027047673
reservoir_volume_roll_max_3h,0.0023900073
water_level_slope_3h,0.002358559
water_level_roll_mean_12h,0.002322832
reservoir_volume_roll_max_12h,0.0022212062
reservoir_volume_roll_mean_6h,0.0021243303
water_level_lag_12h,0.0020462072
water_level_roll_max_48h,0.0016335337
water_level_lag_1h,0.0015238181
water_level_roll_mean_3h,0.001450496
water_level_roll_mean_24h,0.0013977999
reservoir_volume_roll_mean_72h,0.0012517906
water_level_roll_mean_6h,0.00057924
water_level_roll_mean_48h,0.00037220898
reservoir_volume_roll_mean_3h,0.0
reservoir_volume_roll_min_3h,0.0
reservoir_volume_lag_12h,0.0
reservoir_volume_lag_3h,0.0
reservoir_volume_roll_mean_48h,0.0
water_level_roll_mean_72h,0.0
reservoir_volume_roll_max_24h,0.0
is_weekend,0.0
reservoir_volume_roll_min_24h,0.0
reservoir_volume_roll_mean_24h,0.0
reservoir_volume_roll_min_12h,0.0
reservoir_volume_roll_mean_12h,0.0
