model,horizon,MAE,RMSE,R2,Flood_Precision,Flood_Recall,Flood_F1,False_Alarms,Missed_Floods,Detected_Floods,True_NonFloods,mlflow_run_id
Baseline Persistence target_6h,target_6h,0.007085083659108693,0.010547535706322778,0.9943859584391043,0.9585389930898321,0.9585389930898321,0.9585389930898321,84,84,1942,4285,db69ec6b63804fed9aefe7ca0923e421
Baseline Seasonal24 target_6h,target_6h,0.026342783424550438,0.03730873458341619,0.9297583583444767,0.8484698914116485,0.8484698914116485,0.8484698914116485,307,307,1719,4062,cab80321c42d4b428a6fd0e8947e8806
Baseline Rolling24 target_6h,target_6h,0.016019361480323215,0.02321472281094372,0.9728042763272318,0.9104031856645097,0.9027640671273445,0.9065675340768278,180,197,1829,4189,14261c92a7db45a4a45fa4106ed9f562
Ridge Delta target_6h,target_6h,0.006974908587678376,0.010424767583117934,0.994515887219293,0.9756854630108639,0.930898321816387,0.9527658499621117,47,140,1886,4322,5b34311ab4704f33a4dbbba2fd51fd11
XGBoost Absolute target_6h,target_6h,0.007038609576573582,0.010414225264282892,0.9945269735157309,0.9748717948717949,0.9383020730503455,0.9562374245472837,49,125,1901,4320,13911f01849f468bbc88ce7d2cfd717a
XGBoost Delta target_6h,target_6h,0.006381725873306377,0.009779853803059974,0.995173432989205,0.9684684684684685,0.9550839091806516,0.9617296222664016,63,91,1935,4306,2d96f211bc3c48508f353ccb122a9d1c
Baseline Persistence target_24h,target_24h,0.021948284597341765,0.03154513422231694,0.949815443640725,0.8716683119447186,0.8716683119447186,0.8716683119447186,260,260,1766,4109,03b5cf59dad54053be3e65821ca3c949
Baseline Seasonal24 target_24h,target_24h,0.03790831118060986,0.05144442569288717,0.8665305175142567,0.786771964461994,0.786771964461994,0.786771964461994,432,432,1594,3937,7a05ad0c53ae463ab3f2672d1e9002e5
Baseline Rolling24 target_24h,target_24h,0.029249112718269497,0.04080654193727772,0.9160221182297433,0.8367346938775511,0.8297137216189536,0.8332094175960347,328,345,1681,4041,862d60ae9985483da2a77897c63d6c2b
Ridge Delta target_24h,target_24h,0.019641345183426733,0.030386361765458565,0.9534346643186475,0.9538188277087034,0.7951628825271471,0.8672947510094212,78,415,1611,4291,febcc445acc04b4682280d00cf118986
XGBoost Absolute target_24h,target_24h,0.02828106405188695,0.06281715920591364,0.8009959501687344,0.9366153846153846,0.7512339585389931,0.8337441796768009,103,504,1522,4266,3aab0cdc36d7421fadda98a9f97e476c
XGBoost Delta target_24h,target_24h,0.018277309107821778,0.027895125381897506,0.9607570212163487,0.8974884674525884,0.8642645607107601,0.880563238622077,200,275,1751,4169,e894683d49b0431abd76a4d80f3daf41
Baseline Persistence target_72h,target_72h,0.04984480375293189,0.06545214052828345,0.7840009222860845,0.7156959526159921,0.7156959526159921,0.7156959526159921,576,576,1450,3793,bc34264340f045debf4901e0d9ad9119
Baseline Seasonal24 target_72h,target_72h,0.05924599999999985,0.07628806774008137,0.7065612807285966,0.6717670286278381,0.6717670286278381,0.6717670286278381,665,665,1361,3704,114bfc623d6244e19fb5f7d293f8adea
Baseline Rolling24 target_72h,target_72h,0.0538372203544435,0.07007835436231574,0.7523878346265561,0.7013439522150323,0.6954590325765054,0.6983890954151177,600,617,1409,3769,e527b73f69f140c3aa151e792550b05e
Ridge Delta target_72h,target_72h,0.05064518326612943,0.06970174569967733,0.7550420724935024,0.879182156133829,0.46692991115498517,0.6099290780141844,130,1080,946,4239,261e09317e2d4b44bbd12c390a83e8ed
XGBoost Absolute target_72h,target_72h,0.05903312659846254,0.08111470616379086,0.6682557630489491,0.8252100840336134,0.4846989141164857,0.6106965174129353,208,1044,982,4161,5cb648ccddcf4268b723cd7f68242414
XGBoost Delta target_72h,target_72h,0.05222267216629104,0.07062426237884888,0.748515027804143,0.7393302692055155,0.5557749259624877,0.6345449422372499,397,900,1126,3972,a379cedf95e44f7e9d195f1e4395294d
